calendar_start_date,Year,dengue_total
01-01-09,2009,1049
01-02-09,2009,876
01-03-09,2009,1037
01-04-09,2009,1349
01-05-09,2009,2988
01-06-09,2009,4060
01-07-09,2009,3473
01-08-09,2009,3351
01-09-09,2009,2164
01-10-09,2009,1898
01-11-09,2009,1817
01-12-09,2009,1132
01-01-10,2010,1496
01-02-10,2010,1528
01-03-10,2010,2020
01-04-10,2010,1868
01-05-10,2010,3666
01-06-10,2010,6631
01-07-10,2010,10037
01-08-10,2010,11299
01-09-10,2010,7463
01-10-10,2010,3630
01-11-10,2010,2229
01-12-10,2010,1282
01-01-11,2011,1125
01-02-11,2011,956
01-03-11,2011,973
01-04-11,2011,1315
01-05-11,2011,3501
01-06-11,2011,5337
01-07-11,2011,5203
01-08-11,2011,4352
01-09-11,2011,2741
01-10-11,2011,1696
01-11-11,2011,1615
01-12-11,2011,945
01-01-12,2012,857
01-02-12,2012,938
01-03-12,2012,1106
01-04-12,2012,1338
01-05-12,2012,2412
01-06-12,2012,4372
01-07-12,2012,5377
01-08-12,2012,5080
01-09-12,2012,4645
01-10-12,2012,4683
01-11-12,2012,4938
01-12-12,2012,3575
01-01-13,2013,3781
01-02-13,2013,2918
01-03-13,2013,3783
01-04-13,2013,4723
01-05-13,2013,8784
01-06-13,2013,16663
01-07-13,2013,18947
01-08-13,2013,13555
01-09-13,2013,6972
01-10-13,2013,3653
01-11-13,2013,2574
01-12-13,2013,1149
01-01-14,2014,887
01-02-14,2014,856
01-03-14,2014,1010
01-04-14,2014,770
01-05-14,2014,1436
01-06-14,2014,2637
01-07-14,2014,3552
01-08-14,2014,3365
01-09-14,2014,2697
01-10-14,2014,2292
01-11-14,2014,2237
01-12-14,2014,1431
01-01-15,2015,1367
01-02-15,2015,1160
01-03-15,2015,1511
01-04-15,2015,1939
01-05-15,2015,4645
01-06-15,2015,7937
01-07-15,2015,11068
01-08-15,2015,13461
01-09-15,2015,12922
01-10-15,2015,10660
01-11-15,2015,13731
01-12-15,2015,6552
01-01-16,2016,4057
01-02-16,2016,2505
01-03-16,2016,2347
01-04-16,2016,1307
01-05-16,2016,1230
01-06-16,2016,2503
01-07-16,2016,4991
01-08-16,2016,6676
01-09-16,2016,5012
01-10-16,2016,3498
01-11-16,2016,2627
01-12-16,2016,1713
01-01-17,2017,1598
01-02-17,2017,1229
01-03-17,2017,1104
01-04-17,2017,1174
01-05-17,2017,2230
01-06-17,2017,4411
01-07-17,2017,5368
01-08-17,2017,4812
01-09-17,2017,3179
01-10-17,2017,2484
01-11-17,2017,2512
01-12-17,2017,1742
01-01-18,2018,2244
01-02-18,2018,1996
01-03-18,2018,2606
01-04-18,2018,3104
01-05-18,2018,7291
01-06-18,2018,13612
01-07-18,2018,14125
01-08-18,2018,12420
01-09-18,2018,9081
01-10-18,2018,7592
01-11-18,2018,7256
01-12-18,2018,5885
01-01-19,2019,5797
01-02-19,2019,4984
01-03-19,2019,5369
01-04-19,2019,4931
01-05-19,2019,8350
01-06-19,2019,18697
01-07-19,2019,22413
01-08-19,2019,18209
01-09-19,2019,14367
01-10-19,2019,12848
01-11-19,2019,10418
01-12-19,2019,4774
01-01-20,2020,3883
01-02-20,2020,2787
01-03-20,2020,2539
01-04-20,2020,3111
01-05-20,2020,5805
01-06-20,2020,9242
01-07-20,2020,15828
01-08-20,2020,12527
01-09-20,2020,7915
01-10-20,2020,4324
01-11-20,2020,2967
01-12-20,2020,1591
01-01-21,2021,1104
01-02-21,2021,808
01-03-21,2021,762
01-04-21,2021,474
01-05-21,2021,1089
01-06-21,2021,1604
01-07-21,2021,1024
01-08-21,2021,939
01-09-21,2021,847
01-10-21,2021,754
01-11-21,2021,732
01-12-21,2021,480
01-01-22,2022,560
01-02-22,2022,391
01-03-22,2022,509
01-04-22,2022,790
01-05-22,2022,2293
01-06-22,2022,6232
01-07-22,2022,7348
01-08-22,2022,6543
01-09-22,2022,5711
01-10-22,2022,5754
01-11-22,2022,5972
01-12-22,2022,4575
01-01-23,2023,4520
01-02-23,2023,3312
01-03-23,2023,3761
01-04-23,2023,4037
01-05-23,2023,5601
01-06-23,2023,13996
01-07-23,2023,27505
01-08-23,2023,29155
01-09-23,2023,20061
01-10-23,2023,17749
01-11-23,2023,17462
01-12-23,2023,12060
01-01-24,2024,11413
01-02-24,2024,7123
01-03-24,2024,5315
01-04-24,2024,4327
01-05-24,2024,4968
01-06-24,2024,7992
01-07-24,2024,15371
01-08-24,2024,16119
01-09-24,2024,11395
01-10-24,2024,8359
01-11-24,2024,7006
01-12-24,2024,5293
01-01-25,2025,4005
01-02-25,2025,2269
01-03-25,2025,2447
